gap,Electronegativity,R,doping,OH,adsorbent,out
1.225,2,121,1,1,1,-27.13852541
1.225,2,121,1,1,2,-25.8718401
1.225,2,121,1,1,4,-27.13852541
1.225,2,121,1,1,3,-25.8718401
1.225,2,121,1,2,1,-27.13852541
1.225,2,121,1,2,2,-25.8718401
1.225,2,121,1,2,4,-27.13852541
1.225,2,121,1,2,3,-25.8718401
1.225,2,121,1,3,1,-27.13852541
1.225,2,121,1,3,2,-25.8718401
1.225,2,121,1,3,4,-27.13852541
1.225,2,121,1,3,3,-25.8718401
0.874,2,121,2,1,1,-29.91340013
0.874,2,121,2,1,5,-30.3164807
0.874,2,121,2,1,4,-30.3494807
0.874,2,121,2,1,1,-29.9680553
1.479,2,121,3,1,1,-21.67968413
1.479,2,121,3,1,3,-21.0081882
1.479,2,121,3,1,4,-20.76503247
1.479,2,121,3,1,2,-20.55302948
1.31,2.04,82,1,1,1,-25.03080351
1.31,2.04,82,1,1,2,-26.83514154
1.31,2.04,82,1,1,3,-26.15185831
1.31,2.04,82,1,1,5,-25.50728504
1.31,2.04,82,1,2,1,-27.03080351
1.31,2.04,82,1,2,2,-30.83514154
1.31,2.04,82,1,2,3,-25.15185831
1.31,2.04,82,1,2,5,-26.50728504
1.31,2.04,82,1,3,1,-26.03080351
1.31,2.04,82,1,3,2,-25.83514154
1.31,2.04,82,1,3,3,-28.15185831
1.31,2.04,82,1,3,5,-27.50728504
1.233,2.04,82,2,1,1,-25.12451946
1.233,2.04,82,2,1,2,-26.19530052
1.233,2.04,82,2,1,4,-27.33512905
1.233,2.04,82,2,1,5,-26.93758156
1.28,2.04,82,3,1,1,-25.05257587
1.28,2.04,82,3,1,5,-26.62218631
1.28,2.04,82,3,1,4,-24.42875791
1.28,2.04,82,3,1,6,-25.57143343
0.146,3.44,66,1,1,1,-27.07631599
0.146,3.44,66,1,1,3,-21.71225358
0.146,3.44,66,1,1,5,-18.1525897
0.146,3.44,66,1,1,4,-19.86326986
0.146,3.44,66,1,2,1,-27.07631599
0.146,3.44,66,1,2,3,-21.71225358
0.146,3.44,66,1,2,5,-18.1525897
0.146,3.44,66,1,2,4,-19.86326986
0.146,3.44,66,1,3,1,-27.07631599
0.146,3.44,66,1,3,3,-21.71225358
0.146,3.44,66,1,3,5,-18.1525897
0.146,3.44,66,1,3,4,-19.86326986
