Electronegativity,R,doping,OH,adsorbent,out
2,121,1,1,1,-27.13852541
2,121,1,1,2,-25.8718401
2,121,1,1,4,-27.13852541
2,121,1,1,3,-25.8718401
2,121,1,1,1,-27.13852541
2,121,1,1,2,-25.8718401
2,121,1,1,4,-27.13852541
2,121,1,1,3,-25.8718401
2,121,1,1,1,-27.13852541
2,121,1,1,2,-25.8718401
2,121,1,1,4,-27.13852541
2,121,1,1,3,-25.8718401
2,121,2,2,1,-29.91340013
2,121,2,2,5,-30.3164807
2,121,2,2,4,-30.3494807
2,121,2,2,1,-29.9680553
2,121,3,3,1,-21.67968413
2,121,3,3,3,-21.0081882
2,121,3,3,4,-20.76503247
2,121,3,3,2,-20.55302948
2.04,82,1,1,1,-25.03080351
2.04,82,1,1,2,-26.83514154
2.04,82,1,1,3,-26.15185831
2.04,82,1,1,5,-25.50728504
2.04,82,1,1,1,-27.03080351
2.04,82,1,1,2,-30.83514154
2.04,82,1,1,3,-25.15185831
2.04,82,1,1,5,-26.50728504
2.04,82,1,1,1,-26.03080351
2.04,82,1,1,2,-25.83514154
2.04,82,1,1,3,-28.15185831
2.04,82,1,1,5,-27.50728504
2.04,82,2,2,1,-25.12451946
2.04,82,2,2,2,-26.19530052
2.04,82,2,2,4,-27.33512905
2.04,82,2,2,5,-26.93758156
2.04,82,3,3,1,-25.05257587
2.04,82,3,3,5,-26.62218631
2.04,82,3,3,4,-24.42875791
2.04,82,3,3,6,-25.57143343
3.44,66,1,1,1,-27.07631599
3.44,66,1,1,3,-21.71225358
3.44,66,1,1,5,-18.1525897
3.44,66,1,1,4,-19.86326986
3.44,66,1,1,1,-27.07631599
3.44,66,1,1,3,-21.71225358
3.44,66,1,1,5,-18.1525897
3.44,66,1,1,4,-19.86326986
3.44,66,1,1,1,-27.07631599
3.44,66,1,1,3,-21.71225358
3.44,66,1,1,5,-18.1525897
3.44,66,1,1,4,-19.86326986
3.44,66,2,2,2,-26.54769782
3.44,66,2,2,1,-22.38225937
3.44,66,2,2,5,-18.87410283
3.44,66,2,2,4,-22.76326427
3.44,66,3,3,2,-19.80909813
3.44,66,3,3,1,-14.58772262
3.44,66,3,3,5,-18.96919035
3.44,66,3,3,4,-18.35770391
3.04,70,1,1,2,-27.23608076
3.04,70,1,1,1,-28.17571018
3.04,70,1,1,5,-25.47464315
3.04,70,1,1,4,-25.16976062
3.04,70,1,1,2,-27.23608076
3.04,70,1,1,1,-28.17571018
3.04,70,1,1,5,-25.47464315
3.04,70,1,1,4,-25.16976062
3.04,70,1,1,2,-27.23608076
3.04,70,1,1,1,-28.17571018
3.04,70,1,1,5,-25.47464315
3.04,70,1,1,4,-25.16976062
3.04,70,2,2,2,-27.712915
