Electronegativity,doping,R,OH,adsorbent,out
2,1,121,1,1,-25.58131235
2,1,121,1,2,-26.84799899
2,1,121,1,4,-25.0334632
2,1,121,1,3,-26.84797441
2,1,121,1,1,-36.54647231
2,1,121,1,2,-37.81315895
2,1,121,1,4,-36.54642066
2,1,121,1,3,-43.81313437
2,1,121,1,1,-37.44942209
2,1,121,1,2,-38.71610873
2,1,121,1,4,-37.44947044
2,1,121,1,3,-38.71608415
2,2,121,2,1,-21.17338709
2,2,121,2,5,-20.77030768
2,2,121,2,4,-20.73730768
2,2,121,2,1,-21.11873336
2,3,121,3,1,-44.68858463
2,3,121,3,3,-45.36008061
2,3,121,3,4,-45.60323717
2,3,121,3,2,-45.81524018
2.04,1,82,1,1,-55.96483335
2.04,1,82,1,2,-54.84352407
2.04,1,82,1,3,-54.84252407
2.04,1,82,1,5,-55.48847171
2.04,1,82,1,1,-53.35700401
2.04,1,82,1,2,-54.5520391
2.04,1,82,1,3,-49.5520391
2.04,1,82,1,5,-53.87864237
2.04,1,82,1,1,-49.2018604
2.04,1,82,1,2,-49.39752237
2.04,1,82,1,3,-47.0808056
2.04,1,82,1,5,-47.72537887
2.04,2,82,2,1,-64.3788853
2.04,2,82,2,2,-63.30810425
2.04,2,82,2,4,-62.16827572
2.04,2,82,2,5,-62.5658232
2.04,3,82,3,1,-66.72740071
2.04,3,82,3,5,-65.15772351
2.04,3,82,3,4,-67.35122655
2.04,3,82,3,6,-66.20722428
3.44,1,66,1,1,-52.59485462
3.44,1,66,1,3,-63.95891684
3.44,1,66,1,5,-61.51858237
3.44,1,66,1,4,-59.80790076
3.44,1,66,1,1,-52.15237183
3.44,1,66,1,3,-57.51643425
3.44,1,66,1,5,-61.07609958
3.44,1,66,1,4,-59.36541797
3.44,1,66,1,1,-61.13950086
3.44,1,66,1,3,-61.50356498
3.44,1,66,1,5,-65.06323051
3.44,1,66,1,4,-63.3525489
3.44,2,66,2,2,-58.903057
3.44,2,66,2,1,-63.06847101
3.44,2,66,2,5,-66.57660105
3.44,2,66,2,4,-62.68681005
3.44,3,66,3,2,-54.31761624
3.44,3,66,3,1,-59.53906795
3.44,3,66,3,5,-55.15757072
3.44,3,66,3,4,-55.76903012
3.04,1,70,1,2,-91.3758234
3.04,1,70,1,1,-90.43626545
3.04,1,70,1,5,-93.13735187
3.04,1,70,1,4,-93.44216207
3.04,1,70,1,2,-91.47602449
3.04,1,70,1,1,-90.53646654
3.04,1,70,1,5,-93.23750814
3.04,1,70,1,4,-93.54236316
3.04,1,70,1,2,-92.20267814
3.04,1,70,1,1,-91.26306179
3.04,1,70,1,5,-93.96406179
3.04,1,70,1,4,-94.26901681
3.04,2,70,2,2,-90.91032141
3.04,2,70,2,3,-92.0265187
3.04,2,70,2,1,-93.6049175
3.04,2,70,2,5,-90.69403051
3.04,3,70,3,3,-82.06818485
3.04,3,70,3,2,-82.9518382
3.04,3,70,3,1,-84.27681718
3.04,3,70,3,5,-82.42492954
2.19,1,110,1,1,-32.46325818
2.19,1,110,1,3,-30.86640381
2.19,1,110,1,4,-34.5530954
2.19,1,110,1,2,-32.03739668
2.19,1,110,1,1,-33.55622194
2.19,1,110,1,3,-31.95936757
2.19,1,110,1,4,-35.64605916
2.19,1,110,1,2,-33.13036044
2.19,1,110,1,1,-29.84484557
2.19,1,110,1,3,-28.2479912
2.19,1,110,1,4,-31.93468279
2.19,1,110,1,2,-29.41898407
2.19,2,110,2,1,-44.95890293
2.19,2,110,2,4,-43.36204916
2.19,2,110,2,5,-44.95890293
2.19,3,110,2,1,-33.38434557
2.19,3,110,3,3,-31.5506912
2.19,3,110,3,4,-29.95388165
2.58,1,104,1,1,-41.14211623
2.58,1,104,1,2,-42.55591493
2.58,1,104,1,4,-40.85212016
2.58,1,104,1,5,-43.05596709
2.58,1,104,1,1,-34.73540796
2.58,1,104,1,2,-36.14920666
2.58,1,104,1,4,-34.44521189
2.58,1,104,1,5,-36.64935882
2.58,1,104,1,1,-41.27853666
2.58,1,104,1,2,-39.33950153
2.58,1,104,1,4,-41.54332656
2.58,1,104,1,5,-39.38521402
2.58,2,104,2,1,-38.41949169
2.58,2,104,2,2,-40.16398557
2.58,2,104,2,4,-38.41891519
2.58,2,104,2,4,-40.1640708
2.58,3,104,3,3,-46.81602302
2.58,3,104,3,1,-48.56182012
2.58,3,104,3,4,-46.81658337
1.9,1,117,1,3,-78.61035463
1.9,1,117,1,1,-77.92345771
1.9,1,117,1,5,-79.10296387
1.9,1,117,1,2,-77.10896387
1.9,1,117,1,3,-89.79435005
1.9,1,117,1,1,-86.10741192
1.9,1,117,1,5,-90.28691808
1.9,1,117,1,2,-86.29291808
1.9,1,117,1,3,-88.93800901
1.9,1,117,1,1,-88.25041683
1.9,1,117,1,5,-89.42992299
1.9,1,117,1,2,-86.43592299
1.9,2,117,2,1,-73.30141973
1.9,2,117,2,3,-77.24698993
1.9,2,117,2,4,-72.86731418
1.9,2,117,2,5,-69.32620372
1.9,3,117,3,2,-77.2193139
1.9,3,117,3,3,-79.05017738
1.9,3,117,3,1,-79.95043129
1.9,3,117,3,4,-78.06952155
2.55,3,127,1,1,-20.68391218
2.55,1,127,1,2,-24.84060547
2.55,1,127,1,3,-22.70230237
2.55,1,127,1,4,-24.51462278
2.55,1,127,1,1,-27.9231367
2.55,1,127,1,2,-32.07982999
2.55,1,127,1,3,-29.94152689
2.55,1,127,1,4,-31.7538473
2.55,1,127,1,1,-27.35328027
2.55,1,127,1,2,-31.50997356
2.55,1,127,1,3,-29.37167046
2.55,1,127,1,4,-31.18399087
2.55,2,127,2,1,-10.87120329
2.55,2,127,2,4,-9.12201453
2.55,2,127,2,3,-11.76657273
2.55,2,127,2,2,-12.80636587
2.55,3,127,3,1,-7.70513691
2.55,3,127,3,3,-10.3501318
2.55,3,127,3,2,-11.11082248
2.55,3,127,3,4,-11.05155542
2.1,1,137,1,1,-32.99912743
2.1,1,137,1,5,-32.65779304
2.1,1,137,1,6,-32.65779304
2.1,1,137,1,2,-31.15179532
2.1,1,137,2,1,-40.07881458
2.1,1,137,2,5,-39.73748019
2.1,1,137,2,6,-39.87503001
2.1,1,137,2,2,-38.23148247
2.1,1,137,3,1,-41.90606746
2.1,1,137,3,5,-41.56473307
2.1,1,137,3,6,-41.72928289
