gap,doping,Electronegativity,R,OH,adsorbent,out
1.225,1,2,121,1,1,-25.58131235
1.225,1,2,121,1,2,-26.84799899
1.225,1,2,121,1,4,-25.0334632
1.225,1,2,121,1,3,-26.84797441
1.225,1,2,121,2,1,-36.54647231
1.225,1,2,121,2,2,-37.81315895
1.225,1,2,121,2,4,-36.54642066
1.225,1,2,121,2,3,-43.81313437
1.225,1,2,121,3,1,-37.44942209
1.225,1,2,121,3,2,-38.71610873
1.225,1,2,121,3,4,-37.44947044
1.225,1,2,121,3,3,-38.71608415
0.874,2,2,121,1,1,-21.17338709
0.874,2,2,121,1,5,-20.77030768
0.874,2,2,121,1,4,-20.73730768
0.874,2,2,121,1,1,-21.11873336
1.479,3,2,121,1,1,-44.68858463
1.479,3,2,121,1,3,-45.36008061
1.479,3,2,121,1,4,-45.60323717
1.479,3,2,121,1,2,-45.81524018
1.31,1,2.04,82,1,1,-55.96483335
1.31,1,2.04,82,1,2,-54.84352407
1.31,1,2.04,82,1,3,-54.84252407
1.31,1,2.04,82,1,5,-55.48847171
1.31,1,2.04,82,2,1,-53.35700401
1.31,1,2.04,82,2,2,-54.5520391
1.31,1,2.04,82,2,3,-49.5520391
1.31,1,2.04,82,2,5,-53.87864237
1.31,1,2.04,82,3,1,-49.2018604
1.31,1,2.04,82,3,2,-49.39752237
1.31,1,2.04,82,3,3,-47.0808056
1.31,1,2.04,82,3,5,-47.72537887
1.233,2,2.04,82,1,1,-64.3788853
1.233,2,2.04,82,1,2,-63.30810425
1.233,2,2.04,82,1,4,-62.16827572
1.233,2,2.04,82,1,5,-62.5658232
1.28,3,2.04,82,1,1,-66.72740071
1.28,3,2.04,82,1,5,-65.15772351
1.28,3,2.04,82,1,4,-67.35122655
1.28,3,2.04,82,1,6,-66.20722428
0.146,1,3.44,66,1,1,-52.59485462
0.146,1,3.44,66,1,3,-63.95891684
0.146,1,3.44,66,1,5,-61.51858237
0.146,1,3.44,66,1,4,-59.80790076
0.146,1,3.44,66,2,1,-52.15237183
0.146,1,3.44,66,2,3,-57.51643425
0.146,1,3.44,66,2,5,-61.07609958
0.146,1,3.44,66,2,4,-59.36541797
0.146,1,3.44,66,3,1,-61.13950086
