Electronegativity,doping,R,OH,adsorbent,out
2,1,121,1,1,-52.71983776
2,1,121,1,2,-52.71983909
2,1,121,1,4,-52.71988861
2,1,121,1,3,-52.71981451
2,1,121,1,1,-63.68499772
2,1,121,1,2,-63.68499905
2,1,121,1,4,-63.68494607
2,1,121,1,3,-69.68497447
2,1,121,1,1,-64.5879475
2,1,121,1,2,-64.58794883
2,1,121,1,4,-64.58799585
2,1,121,1,3,-64.58792425
2,2,121,2,1,-51.08678722
2,2,121,2,5,-51.08678838
2,2,121,2,4,-51.08678838
2,2,121,2,1,-51.08678866
2,3,121,3,1,-66.36826876
2,3,121,3,3,-66.36826881
2,3,121,3,4,-66.36826964
2,3,121,3,2,-66.36826966
2.04,1,82,1,1,-80.99563686
2.04,1,82,1,2,-80.99500998
2.04,1,82,1,3,-80.99538238
2.04,1,82,1,5,-80.99575675
2.04,1,82,1,1,-80.38780752
2.04,1,82,1,2,-80.38718064
2.04,1,82,1,3,-80.38655304
2.04,1,82,1,5,-80.38592741
2.04,1,82,1,1,-75.23266391
2.04,1,82,1,2,-75.23266391
2.04,1,82,1,3,-75.23266391
2.04,1,82,1,5,-75.23266391
2.04,2,82,2,1,-89.50340476
2.04,2,82,2,2,-89.50340476
2.04,2,82,2,4,-89.50340476
2.04,2,82,2,5,-89.50340476
2.04,3,82,3,1,-91.77997658
2.04,3,82,3,5,-91.77990982
2.04,3,82,3,4,-91.77998446
2.04,3,82,3,6,-91.77865771
3.44,1,66,1,1,-79.67117062
3.44,1,66,1,3,-79.67117042
3.44,1,66,1,5,-79.67117207
3.44,1,66,1,4,-79.67117207
3.44,1,66,1,1,-79.22868783
3.44,1,66,1,3,-79.22868783
3.44,1,66,1,5,-79.22868783
3.44,1,66,1,4,-79.22868783
3.44,1,66,1,1,-83.21581685
3.44,1,66,1,3,-83.21581856
3.44,1,66,1,5,-83.21582021
3.44,1,66,1,4,-83.21581876
3.44,2,66,2,2,-85.45075482
3.44,2,66,2,1,-85.45073038
3.44,2,66,2,5,-85.45070388
3.44,2,66,2,4,-85.45007432
3.44,3,66,3,2,-74.12671437
3.44,3,66,3,1,-74.12679057
3.44,3,66,3,5,-74.12676107
3.44,3,66,3,4,-74.12673403
3.04,1,70,1,2,-118.6119042
3.04,1,70,1,1,-118.6119756
3.04,1,70,1,5,-118.611995
3.04,1,70,1,4,-118.6119227
3.04,1,70,1,2,-118.7121052
3.04,1,70,1,1,-118.7121767
3.04,1,70,1,5,-118.7121513
3.04,1,70,1,4,-118.7121238
3.04,1,70,1,2,-119.4387589
3.04,1,70,1,1,-119.438772
3.04,1,70,1,5,-119.4387049
3.04,1,70,1,4,-119.4387774
3.04,2,70,2,2,-118.6232364
3.04,2,70,2,3,-118.6232101
3.04,2,70,2,1,-118.6232826
3.04,2,70,2,5,-118.6232556
3.04,3,70,3,3,-109.8775296
3.04,3,70,3,2,-109.8775004
3.04,3,70,3,1,-109.8775746
3.04,3,70,3,5,-109.8775757
2.19,1,110,1,1,-70.82530734
2.19,1,110,1,3,-70.82530674
2.19,1,110,1,4,-70.82530895
2.19,1,110,1,2,-70.82530801
2.19,1,110,1,1,-71.9182711
