gap,doping,Electronegativity,R,OH,adsorbent,out
1.225,1,2,121,1,1,-52.71983776
1.225,1,2,121,1,2,-52.71983909
1.225,1,2,121,1,4,-52.96368611
1.225,1,2,121,1,3,-48.80021451
1.225,1,2,121,2,1,-63.68499772
1.225,1,2,121,2,2,-63.68499905
1.225,1,2,121,2,4,-63.92884607
1.225,1,2,121,2,3,-59.76537447
1.225,1,2,121,3,1,-64.5879475
1.225,1,2,121,3,2,-64.58794883
1.225,1,2,121,3,4,-64.83179585
1.225,1,2,121,3,3,-60.66832425
0.874,2,2,121,1,1,-51.08678722
0.874,2,2,121,1,5,-51.08678838
0.874,2,2,121,1,4,-51.08678838
0.874,2,2,121,1,1,-51.08678866
1.479,3,2,121,1,1,-66.36826876
1.479,3,2,121,1,3,-66.36826881
1.479,3,2,121,1,4,-66.36826964
1.479,3,2,121,1,2,-66.36826966
1.31,1,2.04,82,1,1,-80.99563686
1.31,1,2.04,82,1,2,-80.99500998
1.31,1,2.04,82,1,3,-80.99438238
1.31,1,2.04,82,1,5,-82.99375675
1.31,1,2.04,82,2,1,-80.38780752
1.31,1,2.04,82,2,2,-85.38718064
1.31,1,2.04,82,2,3,-80.38655304
1.31,1,2.04,82,2,5,-84.38592741
1.31,1,2.04,82,3,1,-74.23329079
1.31,1,2.04,82,3,2,-75.23266391
1.31,1,2.04,82,3,3,-81.23203631
1.31,1,2.04,82,3,5,-80.23141068
1.233,2,2.04,82,1,1,-86.50528464
1.233,2,2.04,82,1,2,-85.504658
1.233,2,2.04,82,1,4,-90.50403162
1.233,2,2.04,82,1,5,-89.50340476
1.28,3,2.04,82,1,1,-89.00857658
1.28,3,2.04,82,1,5,-91.77990982
1.28,3,2.04,82,1,4,-91.77928446
1.28,3,2.04,82,1,6,-91.77865771
0.146,1,3.44,66,1,1,-76.09178737
0.146,1,3.44,66,1,3,-73.67117042
0.146,1,3.44,66,1,5,-73.67117207
0.146,1,3.44,66,1,4,-73.67117062
0.146,1,3.44,66,2,1,-75.22868592
0.146,1,3.44,66,2,3,-73.22868763
0.146,1,3.44,66,2,5,-73.22868928
0.146,1,3.44,66,2,4,-73.22868783
0.146,1,3.44,66,3,1,-82.21581685
0.146,1,3.44,66,3,3,-77.21581856
0.146,1,3.44,66,3,5,-77.21582021
0.146,1,3.44,66,3,4,-77.21581876
0.297,2,3.44,66,1,2,-85.45195482
0.297,2,3.44,66,1,1,-85.45133038
0.297,2,3.44,66,1,5,-85.45070388
0.297,2,3.44,66,1,4,-85.45007432
0.571,3,3.44,66,1,2,-74.12671437
0.571,3,3.44,66,1,1,-74.12609057
0.571,3,3.44,66,1,5,-74.12546107
0.571,3,3.44,66,1,4,-74.12483403
1.23,1,3.04,70,1,2,-118.6126042
1.23,1,3.04,70,1,1,-118.6119756
1.23,1,3.04,70,1,5,-118.6113502
1.23,1,3.04,70,1,4,-118.6107227
1.23,1,3.04,70,2,2,-118.7121052
1.23,1,3.04,70,2,1,-118.7114767
1.23,1,3.04,70,2,5,-118.7108513
1.23,1,3.04,70,2,4,-118.7102238
1.23,1,3.04,70,3,2,-119.4387589
1.23,1,3.04,70,3,1,-122.138572
1.23,1,3.04,70,3,5,-119.4375049
1.23,1,3.04,70,3,4,-119.4368774
1.233,2,3.04,70,1,2,-118.6238364
1.233,2,3.04,70,1,3,-119.6232101
1.233,2,3.04,70,1,1,-117.6225826
1.233,2,3.04,70,1,5,-120.6219556
1.21,3,3.04,70,1,3,-108.8788296
1.21,3,3.04,70,1,2,-105.8782004
1.21,3,3.04,70,1,1,-106.8775746
1.21,3,3.04,70,1,5,-109.8775757
1.292,1,2.19,110,1,1,-70.82530734
1.292,1,2.19,110,1,3,-70.82530674
1.292,1,2.19,110,1,4,-70.82530895
1.292,1,2.19,110,1,2,-70.82530801
1.292,1,2.19,110,2,1,-71.9182711
1.292,1,2.19,110,2,3,-71.9182705
1.292,1,2.19,110,2,4,-71.91827271
1.292,1,2.19,110,2,2,-71.91827177
1.292,1,2.19,110,3,1,-68.20689473
1.292,1,2.19,110,3,3,-68.20689413
1.292,1,2.19,110,3,4,-68.20689634
1.292,1,2.19,110,3,2,-68.2068954
1.02,2,2.19,110,1,1,-72.47860286
1.02,2,2.19,110,1,4,-77.94183399
1.02,2,2.19,110,1,5,-75.67915084
1.333,3,2.19,110,1,1,-74.9127485
1.333,3,2.19,110,1,3,-73.30904036
1.333,3,2.19,110,1,4,-77.12358458
0.461,1,2.58,104,1,1,-82.39604279
0.461,1,2.58,104,1,2,-82.39541646
0.461,1,2.58,104,1,4,-87.46334672
0.461,1,2.58,104,1,5,-83.06346862
0.461,1,2.58,104,2,1,-75.98873452
0.461,1,2.58,104,2,2,-75.98810819
0.461,1,2.58,104,2,4,-81.05603845
0.461,1,2.58,104,2,5,-76.65616035
0.461,1,2.58,104,3,1,-70.72773274
0.461,1,2.58,104,3,2,-70.72710641
0.461,1,2.58,104,3,4,-75.79503667
0.461,1,2.58,104,3,5,-78.39515857
0.619,2,2.58,104,1,1,-76.6267206
0.619,2,2.58,104,1,2,-76.62609428
0.619,2,2.58,104,1,4,-80.1721441
0.619,2,2.58,104,1,4,-78.97317951
0.612,3,2.58,104,1,3,-85.34825193
0.612,3,2.58,104,1,1,-85.02392883
0.612,3,2.58,104,1,4,-87.03211228
1.376,1,1.9,117,1,3,-106.5889947
1.376,1,1.9,117,1,1,-100.1385549
1.376,1,1.9,117,1,5,-100.3126407
1.376,1,1.9,117,1,2,-102.306406
1.376,1,1.9,117,2,3,-114.7729489
1.376,1,1.9,117,2,1,-111.3225091
1.376,1,1.9,117,2,5,-108.4965949
1.376,1,1.9,117,2,2,-112.4903602
1.376,1,1.9,117,3,3,-116.9159539
1.376,1,1.9,117,3,1,-110.465514
1.376,1,1.9,117,3,5,-110.6395998
1.376,1,1.9,117,3,2,-113.6333651
1.205,2,1.9,117,1,1,-98.40366517
1.205,2,1.9,117,1,3,-94.3842842
1.205,2,1.9,117,1,4,-102.7090916
1.205,2,1.9,117,1,5,-101.8707691
0.987,3,1.9,117,1,2,-109.5860154
0.987,3,1.9,117,1,3,-107.0266263
0.987,3,1.9,117,1,1,-107.9567473
0.987,3,1.9,117,1,4,-108.6459341
0.841,3,2.55,127,1,1,-53.82529336
0.841,1,2.55,127,1,2,-53.8252994
0.841,1,2.55,127,1,3,-53.825298
0.841,1,2.55,127,1,4,-53.82529639
0.841,1,2.55,127,2,1,-61.06451788
0.841,1,2.55,127,2,2,-61.06452392
0.841,1,2.55,127,2,3,-61.06452252
0.841,1,2.55,127,2,4,-61.06452091
0.841,1,2.55,127,3,1,-60.49466145
0.841,1,2.55,127,3,2,-60.49466749
0.841,1,2.55,127,3,3,-60.49466609
0.841,1,2.55,127,3,4,-60.49466448
